lemma,field,goetheValue,wiktionaryValue,resolution,sourceLine
das Alter,gender,das,der,kept Goethe (homograph),das Alter	Alter: 26 Jahre.	Age: 26 years.
der Balkon,plural,Balkone,Balkons,took Wiktionary (derivation failed),der Balkon	Die Wohnung hat auch einen kleinen Balkon.	The apartment also has a small balcony.
die Bank,plural,Banken,Bänke,took Wiktionary (derivation failed),die Bank(1)	Die Bank schließt schon um vier Uhr.	The bank closes at four o'clock.
das Datum,plural,Datumen,Daten,took Wiktionary (derivation failed),das Datum	Bitte schreiben Sie noch das Datum auf das Formular.	Please also write the date on the form.
der Erwachsene,gender,der,die,kept Goethe (homograph),"der Erwachsene, -n	Dieser Film ist nur für Erwachsene.	This movie is for adults only."
die Firma,plural,Firmaen,Firmen,took Wiktionary (derivation failed),die Firma	Er arbeitet jetzt bei einer anderen Firma.	He now works at another company.
die Geschwister,gender,die,das,kept Goethe (homograph),"die Geschwister (pl.)	Ich habe leider keine Geschwister.	Unfortunately, I have no siblings."
der Jugendliche,gender,der,die,kept Goethe (homograph),"der Jugendliche, -n	Viele Jugendliche kaufen gern ein.	Many teenagers like to shop."
das Konto,plural,Kontoen,Konten,took Wiktionary (derivation failed),das Konto	Das Geld überweisen wir am ersten März auf Ihr Konto.	We will transfer the money to your account on March 1st.
die Lebensmittel,gender,die,das,kept Goethe (homograph),die Lebensmittel (pl.)	Lebensmittel bekommen Sie im Supermarkt.	You can get groceries at the supermarket.
der Lkw,plural,Lkws,Lkw,took Wiktionary (derivation failed),"der Lkw, -s	Dieser Lastkraftwagen ist sehr groß.	This truck is very large."
die Möbel,gender,die,das,kept Goethe (homograph),die Möbel (pl.)	Sind die Möbel neu?	Are the furniture new?
das Praktikum,plural,Praktikuma,Praktika,took Wiktionary (derivation failed),das Praktikum	Ich mache ein Praktikum bei Siemens.	I’m doing an internship at Siemens.
die Praxis,plural,Praxisen,Praxen,took Wiktionary (derivation failed),die Praxis	Die Praxis ist ab acht Uhr geöffnet.	The practice is open from 8 a.m.
das Schild,gender,das,der,kept Goethe (homograph),"das Schild, -er	Haben Sie nicht das Schild gesehen?	Didn’t you see the sign?"
das Schild,plural,Schilder,Schilde,took Wiktionary (derivation failed),"das Schild, -er	Haben Sie nicht das Schild gesehen?	Didn’t you see the sign?"
der Teil,gender,der,das,kept Goethe (homograph),"der Teil, -e	Lies bitte auch den zweiten Teil.	Please also read the second part."
das Thema,plural,Themaen,Themen,took Wiktionary (derivation failed),"das Thema	Wir sprechen heute über das Thema „Essen und Trinken“.	Today, we’re talking about the topic of food and drink."
der Verwandte,gender,der,die,kept Goethe (homograph),"der Verwandte, -n	Peter besucht seine Verwandten in Polen.	Peter is visiting his relatives in Poland."
die Band,gender,die,das,kept Goethe (homograph),"die Band, -s	Was ist deine Lieblingsband? Anton spielt in einer Band.	What is your favorite band? Anton plays in a band."
die Band,plural,Bands,Bänder,took Wiktionary (derivation failed),"die Band, -s	Was ist deine Lieblingsband? Anton spielt in einer Band.	What is your favorite band? Anton plays in a band."
die Cafeteria,plural,Cafeterias,Cafeterien,took Wiktionary (derivation failed),"die Cafeteria, -s	Ich gehe jetzt in die Cafeteria. Soll ich dir etwas mitbringen?	I’m going to the cafeteria now. Should I bring you something?"
die Chefin,plural,Chefinne,Chefinnen,took Wiktionary (derivation failed),"der Chef, -s / die Chefin, -ne	Wir haben eine neue Chefin.	We have a new female boss."
das Comic,gender,das,der,kept Goethe (homograph),"der/das Comic, -s	Mein Sohn liest immer nur Comics.	My son always reads comics."
das Einkaufszentrum,plural,Einkaufszentrumen,Einkaufszentren,took Wiktionary (derivation failed),"das Einkaufszentrum, -en	Kommst du morgen mit ins Einkaufszentrum?	Are you coming to the shopping center tomorrow?"
die (E-)Mail,plural,(E-)Mails,E-Mails,took Wiktionary (derivation failed),"die (E-)Mail, -s	Ich schreibe Ihnen/dir eine E-Mail.	I’m writing you an email."
das (Fahr)Rad,plural,(Fahr)Räder,Räder,took Wiktionary (derivation failed),"das (Fahr)Rad, ¨-er	Wenn es nicht regnet, fahre ich mit dem Fahrrad.	If it doesn’t rain, I’ll go by bike."
das Gehalt,gender,das,der,kept Goethe (homograph),"das Gehalt, ¨-er	Sie ist mit ihrem Gehalt zufrieden.	She is satisfied with her salary."
das Gehalt,plural,Gehälter,Gehalte,took Wiktionary (derivation failed),"das Gehalt, ¨-er	Sie ist mit ihrem Gehalt zufrieden.	She is satisfied with her salary."
das Laptop,gender,das,der,kept Goethe (homograph),"der/das Laptop, -s	Ich brauche einen neuen Laptop.	I need a new laptop."
das Museum,plural,Museumeen,Museen,took Wiktionary (derivation failed),"das Museum, -een	Im Kunstmuseum gibt es eine neue Ausstellung.	There is a new exhibition at the art museum."
die See,gender,die,der,kept Goethe (homograph),die See (Sg)	Die See ist heute ruhig.	The sea is calm today.
der Star,plural,Stars,Stare,took Wiktionary (derivation failed),"der Star, -s	Diese Sängerin ist ein Star in Deutschland.	This singer is a star in Germany."
das Stipendium,plural,Stipendiumen,Stipendien,took Wiktionary (derivation failed),"das Stipendium, -en	Wenn ich ein gutes Zeugnis habe, bekomme ich ein Stipendium.	If I have a good report card, I will get a scholarship."
das Zentrum,plural,Zentrumen,Zentren,took Wiktionary (derivation failed),"das Zentrum, -en	Der Bahnhof ist im Stadtzentrum.	The train station is in the city center."
