lemma,pos,cefr,gender,word,plural,pluralPattern,singularOnly,pluralOnly,governedCase,partizipII,auxiliary,praesens3sg,isSeparable,exampleDE,exampleEN,sourceLine,verification
ab,other,A1,,ab,,,0,0,,,,,0,Ab morgen muss ich arbeiten.,I have to work from tomorrow.,ab	Ab morgen muss ich arbeiten.	I have to work from tomorrow.,
aber,other,A1,,aber,,,0,0,,,,,0,"Ich bin oft im Büro, aber nur für wenige Stunden.","I am often in the office, but only for a few hours.","aber	Ich bin oft im Büro, aber nur für wenige Stunden.	I am often in the office, but only for a few hours.",
abfahren,verb,A1,,abfahren,,,0,0,,,,,1,Wir fahren um zwölf Uhr ab.,We leave at twelve o'clock.,abfahren	Wir fahren um zwölf Uhr ab.	We leave at twelve o'clock.,
die Abfahrt,noun,A1,die,Abfahrt,Abfahrten,-en,0,0,,,,,0,Vor der Abfahrt rufe ich an.,"Before departure, I'll call.","die Abfahrt	Vor der Abfahrt rufe ich an.	Before departure, I'll call.",verified
abgeben,verb,A1,,abgeben,,,0,0,,abgegeben,haben,gibt ab,1,Ich muss meine Schlüssel abgeben.,I have to hand in my keys.,abgeben	Ich muss meine Schlüssel abgeben.	I have to hand in my keys.,
abholen,verb,A1,,abholen,,,0,0,,abgeholt,haben,holt ab,1,Wann kann ich den Schrank bei dir abholen?,When can I pick up the cabinet from you?,abholen(1)	Wann kann ich den Schrank bei dir abholen?	When can I pick up the cabinet from you?,
der Absender,noun,A1,der,Absender,Absender,wiktionary,0,0,,,,,0,Da ist ein Brief für dich ohne Absender.,There is a letter for you without a sender.,der Absender	Da ist ein Brief für dich ohne Absender.	There is a letter for you without a sender.,verified
Achtung,other,A1,,Achtung,,,0,0,,,,,0,Achtung! Das dürfen Sie nicht tun.,Attention! You must not do that.,Achtung	Achtung! Das dürfen Sie nicht tun.	Attention! You must not do that.,
die Adresse,noun,A1,die,Adresse,Adressen,-en,0,0,,,,,0,Können Sie mir seine Adresse sagen?,Could you tell me his address?,"die Adresse,-en	Können Sie mir seine Adresse sagen?	Could you tell me his address?",verified
all-,other,A1,,all-,,,0,0,,,,,0,Alles Gute!,All the best!,all-(1)	Alles Gute!	All the best!,
allein,other,A1,,allein,,,0,0,,,,,0,Er kommt allein.,He comes alone.,allein	Er kommt allein.	He comes alone.,
also,other,A1,,also,,,0,0,,,,,0,"Also, es ist so: …","Well, it is like this: …","also(1)	Also, es ist so: …	Well, it is like this: …",
alt,other,A1,,alt,,,0,0,,,,,0,Wie alt sind Sie?,How old are you?,alt(1)	Wie alt sind Sie?	How old are you?,
das Alter,noun,A1,das,Alter,,,1,0,,,,,0,Alter: 26 Jahre.,Age: 26 years.,das Alter	Alter: 26 Jahre.	Age: 26 years.,verified
an,preposition,A1,,an,,,0,0,wechsel,,,,0,Fahren Sie an der nächsten Straße nach rechts.,Turn right at the next street.,an(1)	Fahren Sie an der nächsten Straße nach rechts.	Turn right at the next street.,
anbieten,verb,A1,,anbieten,,,0,0,,angeboten,haben,bietet an,1,Was darf ich dir anbieten?,What can I offer you?,anbieten	Was darf ich dir anbieten?	What can I offer you?,
das Angebot,noun,A1,das,Angebot,Angebote,-e,0,0,,,,,0,Heute sind Sportschuhe im Angebot.,"Today, sports shoes are on sale.","das Angebot, -e	Heute sind Sportschuhe im Angebot.	Today, sports shoes are on sale.",verified
ander-,other,A1,,ander-,,,0,0,,,,,0,Willst du diese Jacke?,Do you want this jacket?,ander-	Willst du diese Jacke?	Do you want this jacket?,
anfangen,verb,A1,,anfangen,,,0,0,,,,,1,Hier fängt die Bahnhofstraße an.,"Here, Bahnhofstraße starts.","anfangen(1)	Hier fängt die Bahnhofstraße an.	Here, Bahnhofstraße starts.",
der Anfang,noun,A1,der,Anfang,Anfänge,¨-e,0,0,,,,,0,Sie wohnt am Anfang der Straße.,She lives at the beginning of the street.,der Anfang	Sie wohnt am Anfang der Straße.	She lives at the beginning of the street.,verified
anklicken,verb,A1,,anklicken,,,0,0,,,,,1,Da musst du dieses Wort anklicken.,You need to click on this word.,anklicken	Da musst du dieses Wort anklicken.	You need to click on this word.,
ankommen,verb,A1,,ankommen,,,0,0,,angekommen,sein,,1,Wann kommt dieser Zug in Hamburg an?,When does this train arrive in Hamburg?,ankommen	Wann kommt dieser Zug in Hamburg an?	When does this train arrive in Hamburg?,
